# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3813
#@/user_id	3b9f0210-6f77-41af-a981-a384e697813f
dang ran 	當然	c=1 d=0.00634556 t=3813
dang shi 	當時	c=1 d=0.302704 t=3813
dao 	到	c=11 d=1.07923 t=3813
dao di 	到底	c=2 d=0.677057 t=3813
dao fa 	刀法	c=1 d=1 t=2951
dao gou 	倒鉤	c=1 d=0.00697795 t=3813
dao hao 	盜號	c=1 d=0.240508 t=3813
dao le 	到了	c=0 d=0.1 t=3032
dao lu 	道路	c=1 d=1 t=3746
dao zhi 	導致	c=5 d=1.49786 t=3743
de 	地	c=5 d=2.30342 t=3813
de 	得	c=2 d=0.860708 t=3813
de 	的	c=265 d=26.1604 t=3813
de yi yu 	得益於	c=1 d=0.1764 t=3813
dei 	得	c=1 d=0.0902655 t=3813
deng 	燈	c=1 d=0.0104621 t=3813
deng dao 	等到	c=1 d=1 t=3382
deng lu 	登錄	c=1 d=0.0911727 t=3813
di 	低	c=1 d=0.45612 t=3813
di 	弟	c=1 d=1 t=3802
di 	第	c=3 d=0.501576 t=3813
di 	蒂	c=1 d=0.196912 t=3813
di chui 	低垂	c=1 d=1 t=2524
di di 	弟弟	c=1 d=0.460704 t=3813
di fang 	地方	c=3 d=0.0735345 t=3813
di jia 	迪加	c=1 d=0.0160829 t=3813
di jia 	迪迦	c=1 d=0.01649 t=3813
di que 	的確	c=3 d=0.392586 t=3813
di ren 	敵人	c=4 d=3.04103 t=2886
di se 	底色	c=17 d=7.60863 t=3777
di yi 	第一	c=1 d=1 t=3623
di yu 	低語	c=1 d=0.382893 t=3813
di zhen 	地震	c=2 d=1.00165 t=3813
di zhi 	地址	c=3 d=2.84899 t=3813
di zi 	弟子	c=1 d=1 t=2569
dian 	點	c=4 d=0.248137 t=3813
dian bo 	電波	c=1 d=0.20089 t=3813
dian deng pao 	電燈泡	c=1 d=1 t=2548
dian fu 	顛覆	c=0 d=0.1 t=2011
dian fu le 	顛覆了	c=1 d=1 t=2012
dian gu 	典故	c=1 d=1 t=3737
dian nao 	電腦	c=2 d=0.016573 t=3813
dian shi 	電視	c=1 d=1 t=2426
dian ya 	電壓	c=1 d=1 t=2646
dian ying 	電影	c=1 d=0.0882515 t=3813
dian zai 	點在	c=2 d=1.88692 t=2903
diao 	掉	c=1 d=0.00410726 t=3813
die 	爹	c=1 d=1 t=2421
ding 	頂	c=3 d=0.944716 t=3813
diu diu 	丟丟	c=1 d=0.151072 t=3813
dong 	懂	c=0 d=0.0831104 t=3813
dong xi 	東西	c=3 d=0.248413 t=3813
dou 	逗	c=0 d=0.1 t=3016
dou 	都	c=17 d=1.29114 t=3813
dou bi da hui 	逗比大會	c=2 d=1.99501 t=3018
dou hui 	都會	c=1 d=0.272532 t=3813
dou shi 	都是	c=6 d=1.39921 t=3813
dou you 	都有	c=1 d=1 t=2464
du huan 	毒環	c=2 d=0.0288686 t=3813
du li 	獨立	c=1 d=1 t=2331
du men 	獨門	c=3 d=1.76258 t=2842
du shu 	讀書	c=0 d=0.1 t=3329
du shu sheng 	讀書聲	c=1 d=1 t=3330
du zou 	獨奏	c=3 d=0.980199 t=3813
duan shi jian 	短時間	c=1 d=1 t=2758
dui 	對	c=12 d=0.975055 t=3813
dui bi 	對比	c=2 d=0.0233583 t=3813
dui bo 	對波	c=1 d=1 t=2596
dui ce 	對策	c=3 d=0.472685 t=3813
dui nei 	對內	c=1 d=0.327915 t=3813
dui nei 	隊內	c=1 d=0.329559 t=3813
dui shou 	對手	c=0 d=0.00473589 t=3813
dui wei 	對味	c=1 d=0.0271874 t=3813
dui wo 	對我	c=1 d=0.436049 t=3813
dui you 	隊友	c=1 d=1 t=2541
dui yu 	對於	c=4 d=1.89102 t=3248
dun 	噸	c=0 d=0.0293758 t=3813
dun dun 	鈍鈍	c=0 d=0.0293758 t=3813
dun dun dun 	噸鈍鈍	c=1 d=0.29523 t=3813
duo 	多	c=2 d=0.673077 t=3813
duo 	躲	c=1 d=0.0507665 t=3813
duo bi 	躲避	c=1 d=1 t=2850
duo bu guo qu 	躲不過去	c=1 d=0.440432 t=3813
duo chi 	多吃	c=1 d=0.101774 t=3813
duo ci 	多次	c=1 d=1 t=2728
duo de 	奪得	c=1 d=1 t=2139
duo duan 	多段	c=1 d=1 t=2643
duo ge 	多個	c=2 d=0.26902 t=3813
duo me 	多麼	c=1 d=1 t=3138
duo qiang 	多強	c=2 d=0.0343264 t=3813
duo yang 	多樣	c=2 d=1.82283 t=3763
duo yang hua 	多樣化	c=0 d=0.1 t=3119
e 	惡	c=3 d=1.53428 t=3461
e 	餓	c=1 d=1 t=2998
e ling 	惡靈	c=2 d=1.8311 t=3010
e mo 	惡魔	c=1 d=0.375311 t=3813
ei 	誒	c=2 d=0.686052 t=3813
en 	嗯	c=2 d=0.219017 t=3813
en 	恩	c=4 d=2.88649 t=3813
er 	而	c=16 d=3.458 t=3813
er bian 	耳邊	c=1 d=0.380983 t=3813
er ci 	二次	c=1 d=1 t=2264
er fei 	而非	c=1 d=1 t=3526
er ru mu ran 	耳濡目染	c=1 d=1 t=3317
er shang 	而上	c=1 d=1 t=2779
er shi 	兒時	c=1 d=1 t=3582
er shi 	而是	c=1 d=1 t=3550
er wei 	二維	c=1 d=0.362402 t=3813
er xia 	而下	c=1 d=1 t=2691
er xing 	二星	c=1 d=0.429557 t=3813
er yi 	而已	c=3 d=0.10743 t=3813
fa 	法	c=3 d=0.755784 t=3813
fa chu 	發出	c=1 d=1 t=2556
fa dong 	發動	c=1 d=1 t=2730
fa jia 	法家	c=1 d=1 t=3401
fa jia 	發家	c=1 d=1 t=3232
fa lv 	法律	c=1 d=1 t=3408
fa shan ke chen 	乏善可陳	c=1 d=1 t=2960
fa sheng 	發生	c=2 d=0.264498 t=3813
fa shi 	法師	c=2 d=1.28074 t=3813
fa tiao 	發條	c=1 d=0.433874 t=3813
fa yu 	發育	c=1 d=0.516851 t=3813
fa zhan 	發展	c=3 d=1.95611 t=3761
fan jia 	反甲	c=1 d=0.113042 t=3813
fan shou 	反手	c=1 d=1 t=2854
fan wei 	範圍	c=1 d=1 t=2337
fan xin 	煩心	c=1 d=0.366045 t=3813
fan ye 	翻頁	c=1 d=1 t=3813
fan ying 	反應	c=1 d=0.353455 t=3813
fan ying chu 	反映出	c=1 d=1 t=3074
fan ying guo lai 	反應過來	c=1 d=1 t=2832
fan zhe 	反着	c=2 d=0.300373 t=3813
fang 	放	c=2 d=0.810517 t=3813
fang 	防	c=2 d=0.759572 t=3813
fang cai 	方纔	c=1 d=1 t=2831
fang mian 	方面	c=2 d=1.06182 t=3759
fang qi 	放棄	c=1 d=0.0144798 t=3813
fang shi 	方式	c=1 d=0.313486 t=3813
fang xia tu dao 	放下屠刀	c=1 d=1 t=3734
fei 	非	c=2 d=1.02945 t=3596
fei 	飛	c=1 d=0.00744658 t=3813
fei chang 	非常	c=2 d=0.146893 t=3813
fei chuan 	飛船	c=1 d=0.0236356 t=3813
fei le 	廢了	c=1 d=0.315058 t=3813
fei ren 	廢人	c=1 d=1 t=3016
fen dou 	奮鬥	c=2 d=1.2982 t=2317
fen xi 	分析	c=1 d=1 t=3002
fen zhi 	分支	c=1 d=1 t=1985
feng 	風	c=1 d=0.0138133 t=3813
feng ge 	風格	c=1 d=1 t=2415
feng mang 	鋒芒	c=0 d=0.1 t=2865
fo she 	佛蛇	c=1 d=0.937067 t=3813
fou ren 	否認	c=1 d=1 t=3687
fu 	副	c=1 d=1 t=3011
fu 	符	c=1 d=1 t=3035
fu hao 	富豪	c=1 d=1 t=3230
fu hao 	負號	c=1 d=0.062662 t=3813
fu nv 	父女	c=1 d=1 t=2198
fu qi 	夫妻	c=1 d=0.0214936 t=3813
fu qin 	父親	c=9 d=0.985112 t=3813
fu qing 	付清	c=1 d=1 t=2232
fu quan 	父權	c=2 d=1.28365 t=2340
fu sang 	扶桑	c=4 d=3.59664 t=3813
fu shen 	附身	c=2 d=1.82696 t=3012
fu yu 	賦予	c=1 d=1 t=3758
fu za 	複雜	c=1 d=0.0124007 t=3813
fu zhi 	複製	c=2 d=0.609571 t=3813
fu zhu 	輔助	c=4 d=1.81165 t=3813
gai 	該	c=1 d=1 t=2351
gai guo lai 	改過來	c=0 d=0.1 t=3298
gai guo lai le 	改過來了	c=1 d=1 t=3299
gai liang 	改良	c=1 d=1 t=3414
gan 	感	c=1 d=1 t=2398
gan 	敢	c=1 d=0.00733572 t=3813
gan dao 	感到	c=1 d=0.501576 t=3813
gan jue 	感覺	c=3 d=1.02232 t=3813
gan qing 	感情	c=2 d=0.761281 t=3813
gan shen me 	幹什麼	c=1 d=1 t=2721
gan shou 	感受	c=1 d=0.0405589 t=3813
gan xing 	感性	c=2 d=1.49043 t=3813
gang 	剛	c=1 d=1 t=2456
gang 	鋼	c=7 d=0.717817 t=3813
gang de qin 	鋼的琴	c=1 d=0.0804596 t=3813
gang gang 	剛剛	c=1 d=0.0357931 t=3813
gang hao 	剛好	c=1 d=0.729789 t=3813
gang ti 	剛體	c=2 d=1.79852 t=2484
gao 	搞	c=2 d=0.826959 t=3813
gao 	高	c=3 d=1.51703 t=3813
gao de 	搞得	c=0 d=0.0831104 t=3813
gao de dong 	搞得懂	c=1 d=0.83527 t=3813
gao shi 	搞事	c=1 d=0.0526021 t=3813
gao su 	告訴	c=2 d=0.56836 t=3813
gao xiao 	搞笑	c=1 d=1 t=2017
gao zhong 	高中	c=1 d=0.582748 t=3813
ge 	個	c=10 d=2.35677 t=3813
ge 	哥	c=3 d=0.628559 t=3813
ge 	擱	c=1 d=1 t=3000
ge di 	各地	c=1 d=0.0987662 t=3813
ge li 	隔離	c=1 d=1 t=3473
ge qu 	歌曲	c=1 d=1 t=3049
ge shi hua 	格式化	c=3 d=1.98879 t=3813
ge xing 	個性	c=2 d=1.04856 t=3728
ge zhong ge yang 	各種各樣	c=1 d=1 t=3210
gei 	給	c=2 d=0.0692522 t=3813
gei ge 	給個	c=1 d=1 t=2453
gei le 	給了	c=1 d=1 t=3238
gen bu shang 	跟不上	c=1 d=0.357007 t=3813
geng 	更	c=1 d=1.1 t=3119
geng duo yang hua 	更多樣化	c=1 d=1 t=3120
geng gai 	更改	c=2 d=1.26714 t=3653
geng sha 	更紗	c=1 d=1 t=3050
geng xin 	更新	c=1 d=1 t=2650
gong ben 	宮本	c=1 d=0.447088 t=3813
gong bu 	弓步	c=1 d=0.120633 t=3813
gong ji 	攻擊	c=3 d=2.08955 t=2881
gu 	股	c=1 d=1 t=2829
gu dong 	鼓動	c=4 d=1.69809 t=3813
gu ji 	估計	c=1 d=0.505981 t=3813
gu ji zhe 	估計這	c=1 d=0.0944202 t=3813
gu ren 	古人	c=1 d=1 t=3063
gu shi 	故事	c=1 d=1 t=3325
gu you 	固有	c=1 d=1 t=3786
gua pi 	瓜皮	c=2 d=0.335683 t=3813
guai 	乖	c=1 d=1 t=2722
guan jian 	關鍵	c=2 d=1.42044 t=3813
guan jun 	冠軍	c=4 d=2.94133 t=2189
guan li 	管理	c=1 d=0.250324 t=3813
guan nian 	觀念	c=1 d=1 t=3162
guan xi 	關係	c=1 d=0.0125254 t=3813
guan yong 	慣用	c=1 d=1 t=2949
guan yu 	關羽	c=1 d=1 t=2053
guang 	光	c=1 d=0.0164078 t=3813
guang biao 	光標	c=1 d=1 t=3059
guang gao 	廣告	c=1 d=0.00923273 t=3813
guang tou 	光頭	c=1 d=0.305746 t=3813
gui cai 	鬼才	c=1 d=1 t=2676
gui ji 	詭計	c=4 d=0.077976 t=3813
guo 	過	c=1 d=0.00548905 t=3813
guo cheng 	過程	c=1 d=1 t=3114
guo duan 	果斷	c=6 d=0.318603 t=3813
guo lai 	過來	c=0 d=0.1 t=2831
guo le 	過了	c=1 d=0.00522135 t=3813
guo qi 	過期	c=1 d=1 t=3026
guo qu 	過去	c=2 d=0.913931 t=3813
ha 	哈	c=1 d=0.063609 t=3813
ha ha ha 	哈哈哈	c=1 d=0.56836 t=3813
ha ha ha ha 	哈哈哈哈	c=1 d=0.0977834 t=3813
hai 	海	c=1 d=1 t=2588
hai 	還	c=9 d=0.71308 t=3813
hai ke yi 	還可以	c=1 d=0.139457 t=3813
hai neng 	還能	c=1 d=0.0138427 t=3813
hai shi 	還是	c=10 d=1.97842 t=3813
hai tong 	孩童	c=1 d=1 t=3436
hai xing 	還行	c=1 d=0.00775048 t=3813
hai you 	還有	c=2 d=0.951229 t=3813
han zi 	漢子	c=0 d=0.0286505 t=3813
han zi ge 	漢子哥	c=5 d=2.05084 t=3813
hang 	行	c=1 d=1 t=3058
hao 	好	c=7 d=0.354403 t=3813
hao 	號	c=1 d=0.0620385 t=3813
hao dai 	好歹	c=1 d=1 t=2962
hao de 	好的	c=1 d=1 t=2246
hao duo 	好多	c=1 d=0.351692 t=3813
hao hao 	好好	c=2 d=0.0315873 t=3813
